Subject,Memory_Strategy,Presentation_Rate,Recall_Performance
1,Rote Repetition,1,10.8
1,Rote Repetition,2,16.4
1,Rote Repetition,4,21.1
2,Rote Repetition,1,1
2,Rote Repetition,2,23.5
2,Rote Repetition,4,15.8
3,Rote Repetition,1,26.1
3,Rote Repetition,2,30.2
3,Rote Repetition,4,23.9
4,Rote Repetition,1,1
4,Rote Repetition,2,8.9
4,Rote Repetition,4,23.1
5,Rote Repetition,1,3.5
5,Rote Repetition,2,11.8
5,Rote Repetition,4,14.3
6,Rote Repetition,1,9.8
6,Rote Repetition,2,13.3
6,Rote Repetition,4,13.6
7,Rote Repetition,1,3.5
7,Rote Repetition,2,22.3
7,Rote Repetition,4,18.1
8,Rote Repetition,1,5.8
8,Rote Repetition,2,1
8,Rote Repetition,4,16.8
9,Rote Repetition,1,6.8
9,Rote Repetition,2,14.2
9,Rote Repetition,4,19.7
10,Rote Repetition,1,1
10,Rote Repetition,2,6.3
10,Rote Repetition,4,12
11,Rote Repetition,1,9.6
11,Rote Repetition,2,10.6
11,Rote Repetition,4,21
12,Rote Repetition,1,4.2
12,Rote Repetition,2,28.9
12,Rote Repetition,4,17.2
13,Rote Repetition,1,8
13,Rote Repetition,2,15.8
13,Rote Repetition,4,15
14,Rote Repetition,1,4.8
14,Rote Repetition,2,25.2
14,Rote Repetition,4,24.7
15,Rote Repetition,1,3.6
15,Rote Repetition,2,9.2
15,Rote Repetition,4,3.9
16,Rote Repetition,1,18.8
16,Rote Repetition,2,8.4
16,Rote Repetition,4,31.9
17,Rote Repetition,1,20.8
17,Rote Repetition,2,4.7
17,Rote Repetition,4,27.8
18,Rote Repetition,1,1
18,Rote Repetition,2,1
18,Rote Repetition,4,3.7
19,Rote Repetition,1,1
19,Rote Repetition,2,12.1
19,Rote Repetition,4,12.1
20,Rote Repetition,1,8.7
20,Rote Repetition,2,28.3
20,Rote Repetition,4,9.9
21,Rote Repetition,1,7.7
21,Rote Repetition,2,16.6
21,Rote Repetition,4,20.3
22,Rote Repetition,1,1
22,Rote Repetition,2,12.5
22,Rote Repetition,4,18.2
23,Rote Repetition,1,6.1
23,Rote Repetition,2,8.1
23,Rote Repetition,4,25.2
24,Rote Repetition,1,0
24,Rote Repetition,2,19.7
24,Rote Repetition,4,10.9
25,Rote Repetition,1,1
25,Rote Repetition,2,36.4
25,Rote Repetition,4,16
26,Rote Repetition,1,2.2
26,Rote Repetition,2,13.7
26,Rote Repetition,4,12.3
27,Rote Repetition,1,11.4
27,Rote Repetition,2,19.3
27,Rote Repetition,4,21.9
28,Rote Repetition,1,5.9
28,Rote Repetition,2,14.2
28,Rote Repetition,4,37.4
29,Rote Repetition,1,1
29,Rote Repetition,2,2.4
29,Rote Repetition,4,17.9
30,Rote Repetition,1,11.1
30,Rote Repetition,2,21
30,Rote Repetition,4,21.3
31,Rote Repetition,1,1
31,Rote Repetition,2,24.8
31,Rote Repetition,4,19.7
32,Rote Repetition,1,1
32,Rote Repetition,2,11.3
32,Rote Repetition,4,18.6
33,Rote Repetition,1,16
33,Rote Repetition,2,17.3
33,Rote Repetition,4,29.3
34,Rote Repetition,1,3.9
34,Rote Repetition,2,18.2
34,Rote Repetition,4,21.2
35,Rote Repetition,1,8.2
35,Rote Repetition,2,9.7
35,Rote Repetition,4,13.6
36,Rote Repetition,1,22
36,Rote Repetition,2,20.6
36,Rote Repetition,4,13.7
37,Rote Repetition,1,2.1
37,Rote Repetition,2,6.8
37,Rote Repetition,4,39.2
38,Rote Repetition,1,14.7
38,Rote Repetition,2,11.8
38,Rote Repetition,4,24.9
39,Rote Repetition,1,1
39,Rote Repetition,2,9.5
39,Rote Repetition,4,14.2
40,Rote Repetition,1,1
40,Rote Repetition,2,25.2
40,Rote Repetition,4,19.5
41,Rote Repetition,1,3.8
41,Rote Repetition,2,13.7
41,Rote Repetition,4,28.2
42,Rote Repetition,1,0.5
42,Rote Repetition,2,5.9
42,Rote Repetition,4,32.9
43,Rote Repetition,1,1
43,Rote Repetition,2,4.8
43,Rote Repetition,4,7.9
44,Rote Repetition,1,1.9
44,Rote Repetition,2,16.2
44,Rote Repetition,4,32.1
45,Rote Repetition,1,16.9
45,Rote Repetition,2,22.9
45,Rote Repetition,4,21.9
46,Visual Imagery,1,18.1
46,Visual Imagery,2,16.3
46,Visual Imagery,4,19.3
47,Visual Imagery,1,26.4
47,Visual Imagery,2,16.2
47,Visual Imagery,4,41.5
48,Visual Imagery,1,18.9
48,Visual Imagery,2,25.2
48,Visual Imagery,4,21.1
49,Visual Imagery,1,19
49,Visual Imagery,2,17.5
49,Visual Imagery,4,29
50,Visual Imagery,1,23.9
50,Visual Imagery,2,27.2
50,Visual Imagery,4,21.9
51,Visual Imagery,1,15.8
51,Visual Imagery,2,22
51,Visual Imagery,4,40
52,Visual Imagery,1,12.4
52,Visual Imagery,2,23.6
52,Visual Imagery,4,42.2
53,Visual Imagery,1,20.1
53,Visual Imagery,2,14.7
53,Visual Imagery,4,22.9
54,Visual Imagery,1,28.7
54,Visual Imagery,2,26.3
54,Visual Imagery,4,27.9
55,Visual Imagery,1,17.7
55,Visual Imagery,2,25
55,Visual Imagery,4,39.3
56,Visual Imagery,1,24.9
56,Visual Imagery,2,37.7
56,Visual Imagery,4,37.3
57,Visual Imagery,1,15.5
57,Visual Imagery,2,8.9
57,Visual Imagery,4,19.4
58,Visual Imagery,1,19.1
58,Visual Imagery,2,27.1
58,Visual Imagery,4,39.5
59,Visual Imagery,1,38.6
59,Visual Imagery,2,37
59,Visual Imagery,4,27.4
60,Visual Imagery,1,8.5
60,Visual Imagery,2,22.7
60,Visual Imagery,4,29.3
61,Visual Imagery,1,28.5
61,Visual Imagery,2,33.4
61,Visual Imagery,4,34.3
62,Visual Imagery,1,9
62,Visual Imagery,2,29.9
62,Visual Imagery,4,23.1
63,Visual Imagery,1,21.3
63,Visual Imagery,2,24.6
63,Visual Imagery,4,30.2
64,Visual Imagery,1,18.1
64,Visual Imagery,2,9.4
64,Visual Imagery,4,30.5
65,Visual Imagery,1,20.7
65,Visual Imagery,2,19.8
65,Visual Imagery,4,25.7
66,Visual Imagery,1,22.9
66,Visual Imagery,2,27.6
66,Visual Imagery,4,41.2
67,Visual Imagery,1,20.7
67,Visual Imagery,2,27.6
67,Visual Imagery,4,38.1
68,Visual Imagery,1,29.1
68,Visual Imagery,2,33.7
68,Visual Imagery,4,23.8
69,Visual Imagery,1,38.8
69,Visual Imagery,2,28.3
69,Visual Imagery,4,44.8
70,Visual Imagery,1,17
70,Visual Imagery,2,31.3
70,Visual Imagery,4,43.5
71,Visual Imagery,1,14.2
71,Visual Imagery,2,17.9
71,Visual Imagery,4,19.5
72,Visual Imagery,1,6.2
72,Visual Imagery,2,14.8
72,Visual Imagery,4,23.6
73,Visual Imagery,1,8.9
73,Visual Imagery,2,29.6
73,Visual Imagery,4,40.3
74,Visual Imagery,1,34.2
74,Visual Imagery,2,32.6
74,Visual Imagery,4,31.5
75,Visual Imagery,1,6
75,Visual Imagery,2,18.4
75,Visual Imagery,4,23.3
76,Visual Imagery,1,29.4
76,Visual Imagery,2,27.3
76,Visual Imagery,4,21.6
77,Visual Imagery,1,32.8
77,Visual Imagery,2,31
77,Visual Imagery,4,28.9
78,Visual Imagery,1,26.5
78,Visual Imagery,2,11.3
78,Visual Imagery,4,29.3
79,Visual Imagery,1,17.6
79,Visual Imagery,2,30.7
79,Visual Imagery,4,28.1
80,Visual Imagery,1,25.3
80,Visual Imagery,2,34.6
80,Visual Imagery,4,27.6
81,Visual Imagery,1,28.6
81,Visual Imagery,2,16.1
81,Visual Imagery,4,22.6
82,Visual Imagery,1,33.5
82,Visual Imagery,2,29
82,Visual Imagery,4,13.8
83,Visual Imagery,1,9.7
83,Visual Imagery,2,22.4
83,Visual Imagery,4,33.4
84,Visual Imagery,1,22.2
84,Visual Imagery,2,31.6
84,Visual Imagery,4,37.1
85,Visual Imagery,1,32.9
85,Visual Imagery,2,24.8
85,Visual Imagery,4,26.9
86,Visual Imagery,1,8.8
86,Visual Imagery,2,26.7
86,Visual Imagery,4,24.7
87,Visual Imagery,1,17
87,Visual Imagery,2,26.9
87,Visual Imagery,4,38.9
88,Visual Imagery,1,7.4
88,Visual Imagery,2,23.1
